NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 8, at cycle: 1029587.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 8, at cycle: 1029636.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 8, at cycle: 1029638.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 8, at cycle: 1029696.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 8, at cycle: 1029698.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 8, at cycle: 1029770.000000
NEW_JOB_RELEASED, task 2, job 6, at cycle: 1049731.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 6, at cycle: 1049785.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 6, at cycle: 1049857.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 6, at cycle: 1049868.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 6, at cycle: 1049884.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 6, at cycle: 1049889.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 6, at cycle: 1049940.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 6, at cycle: 1049942.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 6, at cycle: 1049956.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 6, at cycle: 1049957.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 6, at cycle: 1049961.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 6, at cycle: 1049962.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 5, job 6, at cycle: 1050034.000000
NEW_JOB_RELEASED, task 1, job 9, at cycle: 1079416.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 9, at cycle: 1079505.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 9, at cycle: 1079578.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 9, at cycle: 1079590.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 9, at cycle: 1079606.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 9, at cycle: 1079610.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 9, at cycle: 1079678.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 9, at cycle: 1079679.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 9, at cycle: 1079698.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 9, at cycle: 1079699.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 9, at cycle: 1079718.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 9, at cycle: 1079725.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 9, at cycle: 1079750.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 9, at cycle: 1079797.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 9, at cycle: 1079798.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 9, at cycle: 1079863.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 9, at cycle: 1079865.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 9, at cycle: 1079937.000000
NEW_JOB_RELEASED, task 2, job 7, at cycle: 1120039.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 7, at cycle: 1120104.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 7, at cycle: 1120176.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 7, at cycle: 1120188.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 7, at cycle: 1120204.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 7, at cycle: 1120209.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 7, at cycle: 1120260.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 7, at cycle: 1120262.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 7, at cycle: 1120276.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 7, at cycle: 1120278.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 7, at cycle: 1120281.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 7, at cycle: 1120283.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 5, job 7, at cycle: 1120354.000000
NEW_JOB_RELEASED, task 1, job 10, at cycle: 1129574.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 10, at cycle: 1129653.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 10, at cycle: 1129755.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 10, at cycle: 1129767.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 10, at cycle: 1129783.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 10, at cycle: 1129789.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 10, at cycle: 1129855.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 10, at cycle: 1129858.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 10, at cycle: 1129875.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 10, at cycle: 1129876.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 10, at cycle: 1129897.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 10, at cycle: 1129904.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 10, at cycle: 1129926.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 10, at cycle: 1129976.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 10, at cycle: 1129977.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 10, at cycle: 1130035.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 10, at cycle: 1130037.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 10, at cycle: 1130109.000000
NEW_JOB_RELEASED, task 1, job 11, at cycle: 1179718.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 11, at cycle: 1179807.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 11, at cycle: 1179880.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 11, at cycle: 1179892.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 11, at cycle: 1179907.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 11, at cycle: 1179912.000000
