NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 11, at cycle: 691864.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 11, at cycle: 691932.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 11, at cycle: 691933.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 11, at cycle: 691951.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 11, at cycle: 691953.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 11, at cycle: 691971.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 11, at cycle: 691978.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 11, at cycle: 691998.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 11, at cycle: 692050.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 11, at cycle: 692052.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 11, at cycle: 692106.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 11, at cycle: 692108.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 11, at cycle: 692180.000000
NEW_JOB_RELEASED, task 2, job 8, at cycle: 701315.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 8, at cycle: 701369.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 8, at cycle: 701473.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 8, at cycle: 701485.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 8, at cycle: 701501.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 8, at cycle: 701504.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 8, at cycle: 701557.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 8, at cycle: 701559.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 8, at cycle: 701573.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 8, at cycle: 701575.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 8, at cycle: 701577.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 8, at cycle: 701579.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 5, job 8, at cycle: 701650.000000
NEW_JOB_RELEASED, task 1, job 12, at cycle: 741818.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 12, at cycle: 741884.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 12, at cycle: 741956.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 12, at cycle: 741967.000000
